1afb__1__1.A__1.D_1.F, 1_D
5j42__1__1.A__1.C_1.D, 1_C
5kgp__1__1.B__1.D_1.L, 1_D
5lia__1__1.A__1.D_1.M, 1_D
5m77__2__1.B__1.D_1.R, 1_D
5n2v__2__1.E_1.F__1.K_1.L_1.M_1.N, 1_N
5o1j__1__1.A__1.B_1.D, 1_B
5x72__1__1.A__1.B_1.C, 1_B
5xmp__1__1.A_1.B__1.G_1.H, 1_H
5y4z__1__1.A__1.B_1.C, 1_B
5yjo__1__1.A__1.E_1.F, 1_E
5zdq__1__2.A__2.E_2.F_2.G_2.H, 2_H
6a9a__1__1.A_2.A__2.C_2.D, 2_D
6b2a__1__1.A_1.B_1.C__1.I_1.L, 1_L
6b63__1__1.A_1.B__1.D_1.E_1.F_1.I_1.L, 1_L
6btn__1__1.A__1.C_1.D_1.F, 1_F
6e6i__1__1.F_1.G_2.G__2.V_2.W, 2_W
6fl8__1__1.A__1.C_1.D_1.E_1.G, 1_D
6hbz__1__1.A_1.B__1.C_1.D, 1_D
6hph__1__1.A__1.B_1.C, 1_B
6hso__1__1.A_2.A__1.L_1.M_1.N, 1_N
6hvh__1__1.A__1.B_1.C, 1_B
6i35__2__1.C__1.N_1.P, 1_N
6jd5__2__1.B__1.E_1.F, 1_E
6kal__1__1.A__1.G_1.H, 1_G
6m3z__1__1.A_1.B_1.C__1.E_1.L, 1_L
6mx3__1__1.A_1.B__1.C_1.D, 1_D
6pia__1__1.A_1.B__1.J_1.L_1.Q, 1_Q
6r4g__1__1.B__1.F_1.G, 1_F
6r4j__1__1.B__1.G_1.H, 1_G
6r58__2__1.B__1.F_1.J, 1_F
6t7g__2__1.B__1.L_1.M, 1_L
6tez__1__1.A__1.C_1.I, 1_C
6wk9__2__1.E_1.F_1.G__1.Q_1.R_1.U_1.V, 1_U
6xug__1__1.B__1.H_1.I_1.K_1.L, 1_L
6xuq__1__2.A__2.B_2.C_2.E, 2_E
6z3v__1__1.A_1.B__1.D_1.I, 1_I
6z4o__1__1.A_1.B__1.D_1.H, 1_H
6zbn__1__1.A__1.G_1.H, 1_G
7a0c__2__1.B__1.T_1.U, 1_T
7bhx__1__1.A_2.A__1.C_2.C, 2_C
7coz__1__1.A__1.D_1.F_1.G, 1_F
7cta__1__2.B__2.E_2.F, 2_E
7erb__2__1.C__1.L_1.M, 1_L
7ere__1__1.A_1.B__1.G_1.I, 1_I
7f4c__1__1.A__1.C_1.D, 1_C
7k4g__1__1.A__1.G_1.H_1.I, 1_I
7k4h__1__1.A__1.G_1.H_1.I, 1_I
7k4i__1__1.B__1.J_1.K_1.L, 1_L
7n8l__2__1.B__1.J_1.M, 1_J
7pwy__1__1.A_1.B__1.I_1.J, 1_J
7ssi__2__1.E__1.N_1.O, 1_N
7u0r__1__1.B__1.I_1.J_1.K_1.L, 1_J
7u8y__1__1.B__1.G_1.H_1.I_1.J, 1_H
7uxs__1__1.A_1.B__1.C_1.F, 1_F
7vzn__1__1.A_1.B__1.S_1.T_1.U, 1_T
8ak6__2__1.B__1.P_1.Q, 1_P
8e1v__1__1.A__1.C_1.D, 1_C
8fg8__2__1.B__1.GA_1.Q_1.R, 1_Q
8odp__1__1.A_1.B__1.I_1.J_1.K_1.L, 1_K
8t5k__1__1.A_2.A__1.B_2.B, 2_B
